*IDN? Returned 31 bytes: CMT, C1209, 00000001, 24.3.4/1


           Frequency                 Real                 Imag                 Loss
   4095054500.000000             0.097229            -0.042060            19.499119
   4140054000.000000             0.041818            -0.040210            24.729412
   4185053500.000000             0.001215            -0.004463            46.697024
   4230053000.000000            -0.003978             0.046474            26.624000
   4275052500.000000             0.027144             0.084892            20.999924
   4320052000.000000             0.076820             0.088559            18.618853
   4365051500.000000             0.114992             0.054208            17.915121
   4410051000.000000             0.118048             0.001257            18.558313
   4455050500.000000             0.080479            -0.039420            20.952368
   4500050000.000000             0.023059            -0.039442            26.804011
   4545049500.000000            -0.014402             0.006595            36.004882
   4590049000.000000             0.001670             0.071618            22.897183
   4635048500.000000             0.074447             0.109187            17.578565
   4680048000.000000             0.168503             0.082453            14.535574
   4725047500.000000             0.232204            -0.010273            12.674111
   4770047000.000000             0.225461            -0.134179            11.621805
   4815046500.000000             0.143296            -0.232240            11.280244
   4860046000.000000             0.023941            -0.255951            11.799047
   4905045500.000000            -0.064537            -0.198142            13.622561
   4950045000.000000            -0.064565            -0.110149            17.877740
   4995044500.000000             0.025779            -0.082875            21.230392
   5040044000.000000             0.115575            -0.186905            13.161331
   5085043500.000000             0.078951            -0.376290             8.302444
   5130043000.000000            -0.116118            -0.514256             5.560457
   5175042500.000000            -0.377233            -0.491310             4.160192
   5220042000.000000            -0.579316            -0.319028             3.591360
   5265041500.000000            -0.650146            -0.046150             3.717950
   5310041000.000000            -0.513362             0.235342             4.963097
   5355040500.000000            -0.130360             0.321563             9.193861
   5400040000.000000             0.148984            -0.110958            14.620810
   5445039500.000000            -0.257362            -0.494511             5.075530
   5490039000.000000            -0.670964            -0.301168             2.668872
   5535038500.000000            -0.713737             0.093303             2.855644
   5580038000.000000            -0.107392             0.037944            18.869648
   5625037500.000000            -0.880812            -0.272926             0.704184
   5670037000.000000            -0.977140             0.150181             0.099467
   5715036500.000000            -0.912271             0.390819             0.065733
   5760036000.000000            -0.821482             0.552616             0.086775
   5805035500.000000            -0.723928             0.670817             0.114108
   5850035000.000000            -0.624847             0.759725             0.142971
   5895034500.000000            -0.526844             0.827227             0.168842
   5940034000.000000            -0.430845             0.877981             0.193249
   5985033500.000000            -0.336846             0.915433             0.215989
   6030033000.000000            -0.245801             0.941608             0.236298
