*IDN? Returned 31 bytes: CMT, C1209, 00000001, 24.3.4/1


           Frequency                 Real                 Imag                 Loss
   8685003500.000000            -0.166006            -1.030654            -3.143588
   8730003000.000000            -0.224004            -1.021839            -3.149996
   8775002500.000000            -0.281693            -1.009425            -3.155590
   8820002000.000000            -0.339404            -0.993597            -3.161441
   8865001500.000000            -0.396444            -0.974414            -3.167397
   8910001000.000000            -0.453051            -0.951557            -3.173131
   8955000500.000000            -0.508856            -0.924715            -3.177804
   9000000000.000000            -0.563289            -0.894351            -3.182208

Time taken: 3242380 ms
Press ENTER to close...
